ID,Title,URL Title,Reward,Start Time,End Time,Enrolled,Submitted,Female Participation,Count of non empty gender,Female Participation (%),Submissions,Countries,Countries in Developing countries (151),Count of users in developing countries,Number of hours worked,Number of Discussions,Number of Comments made
503,Smart Energy Supply Scheduling for Green Telecom Challenge,www.zindi.africa/competitions/smart-energy-supply-scheduling-for-green-telecom,18 000 CHF,06/08/2024 06:00,30/09/2024 23:59,817,158,91,758,12.01%,3954,84,64,637,11862,91,
504,Spatio-Temporal Beam-Level Traffic Forecasting Challenge,www.zindi.africa/competitions/spatio-temporal-beam-level-traffic-forecasting-challenge,12 000 CHF,24/07/2024 11:50,11/10/2024 23:59,695,171,66,681,9.69%,1850,82,60,592,5550,53,
511,INEGI UN-GGIM Human Settlement Detection Challenge,www.zindi.africa/competitions/inegi-gcim-human-settlement-detection-challenge,1 000 CHF,02/09/2024 06:00,28/09/2024 23:59,201,84,27,196,13.78%,1774,49,37,173,5322,32,
512,INEGI UN-GGIM Vegetation Mapping Challenge,www.zindi.africa/competitions/inegi-gcim-vegetation-mapping-challenge,1 000 CHF,02/09/2024 06:00,28/09/2024 23:59,174,69,14,179,7.82%,1567,46,35,149,4701,21,
557,Classification for Landslide Detection,www.zindi.africa/competitions/classification-for-landslide-detection,1 000 CHF,17/04/2025 06:00,04/08/2025 00:15,962,303,87,699,12.45%,8609,88,65,831,25827,66,
592,GEOAI Challenge for Cropland Mapping in Dry Environments,www.zindi.africa/competitions/geoai-challenge-for-cropland-mapping-in-dry-environments,1 000 CHF,02/07/2025 10:00,28/09/2025 23:59,577,186,51,349,14.61%,4720,78,59,516,14160,35,
608,"Your Voice, Your Device, Your Language Challenge",www.zindi.africa/competitions/your-voice-your-device-your-language-challenge,1 000 CHF,22/07/2025 06:00,22/09/2025 00:15,278,73,20,206,9.71%,1006,51,43,254,3018,28,
632,Measuring What Matters Proposal Challenge by ITU,www.zindi.africa/competitions/measuring-what-matters-proposal-challenge,1 000 CHF,24/10/2025 15:00,21/11/2025 22:00,186,42,22,139,15.83%,140,42,35,178,420,3,
,,,,,,,,,,,,,,,,,
Query Link,,,,,,https://zindi-metabase-v1.azurewebsites.net/question#eyJkYXRhc2V0X3F1ZXJ5Ijp7InR5cGUiOiJxdWVyeSIsInF1ZXJ5Ijp7InNvdXJjZS10YWJsZSI6OCwiZmlsdGVyIjpbImFuZCIsWyI9IixbImZpZWxkIiwyMDMsbnVsbF0sNDE4LDQxNCw0MDIsNDAxLDM5MSwzNzAsMzQ0LDQxMyw0MDgsNDE1LDQxNiw0MTJdXSwiYWdncmVnYXRpb24iOltbImRpc3RpbmN0IixbImZpZWxkIiwzMDIsbnVsbF1dXX0sImRhdGFiYXNlIjoyfSwiZGlzcGxheSI6InNjYWxhciIsInZpc3VhbGl6YXRpb25fc2V0dGluZ3MiOnt9fQ==,https://zindi-metabase-v1.azurewebsites.net/question#eyJkYXRhc2V0X3F1ZXJ5Ijp7ImRhdGFiYXNlIjoyLCJxdWVyeSI6eyJzb3VyY2UtdGFibGUiOjgsImZpbHRlciI6WyJhbmQiLFsiPSIsWyJmaWVsZCIsMjAzLG51bGxdLDQxOCw0MTQsNDAyLDQwMSwzOTEsMzcwLDM0NCw0MTMsNDA4LDQxNSw0MTYsNDEyXSxbIm5vdC1udWxsIixbImZpZWxkIiwyMDcsbnVsbF1dXSwiYWdncmVnYXRpb24iOltbImRpc3RpbmN0IixbImZpZWxkIiwzMDIsbnVsbF1dXX0sInR5cGUiOiJxdWVyeSJ9LCJkaXNwbGF5Ijoic2NhbGFyIiwidmlzdWFsaXphdGlvbl9zZXR0aW5ncyI6e319,https://zindi-metabase-v1.azurewebsites.net/question#eyJkYXRhc2V0X3F1ZXJ5Ijp7ImRhdGFiYXNlIjoyLCJxdWVyeSI6eyJzb3VyY2UtdGFibGUiOjgsImZpbHRlciI6WyJhbmQiLFsiPSIsWyJmaWVsZCIsMjAzLG51bGxdLDQxOCw0MTQsNDAyLDQwMSwzOTEsMzcwLDM0NCw0MTMsNDA4LDQxNSw0MTYsNDEyXSxbIj0iLFsiZmllbGQiLDI0MCx7ImpvaW4tYWxpYXMiOiJVc2VycyJ9XSwiZmVtYWxlIiwiZmVtbWUiLCJGRU1BTEUiLCJGZW1tZSJdXSwiYWdncmVnYXRpb24iOltbImRpc3RpbmN0IixbImZpZWxkIiwzMDIsbnVsbF1dXSwiam9pbnMiOlt7ImZpZWxkcyI6ImFsbCIsInNvdXJjZS10YWJsZSI6NiwiY29uZGl0aW9uIjpbIj0iLFsiZmllbGQiLDMwMixudWxsXSxbImZpZWxkIiwyNDUseyJqb2luLWFsaWFzIjoiVXNlcnMifV1dLCJhbGlhcyI6IlVzZXJzIn1dfSwidHlwZSI6InF1ZXJ5In0sImRpc3BsYXkiOiJzY2FsYXIiLCJ2aXN1YWxpemF0aW9uX3NldHRpbmdzIjp7fX0=,,,,,https://zindi-metabase-v1.azurewebsites.net/question#eyJkYXRhc2V0X3F1ZXJ5Ijp7ImRhdGFiYXNlIjoyLCJxdWVyeSI6eyJzb3VyY2UtdGFibGUiOjgsImpvaW5zIjpbeyJmaWVsZHMiOiJhbGwiLCJzb3VyY2UtdGFibGUiOjYsImNvbmRpdGlvbiI6WyI9IixbImZpZWxkIiwzMDIsbnVsbF0sWyJmaWVsZCIsMjQ1LHsiam9pbi1hbGlhcyI6IlVzZXJzIn1dXSwiYWxpYXMiOiJVc2VycyJ9LHsiZmllbGRzIjoiYWxsIiwic291cmNlLXRhYmxlIjo2MCwiY29uZGl0aW9uIjpbIj0iLFsiZmllbGQiLDM2NjYseyJqb2luLWFsaWFzIjoiVXNlcnMifV0sWyJmaWVsZCIsMzY2OSx7ImpvaW4tYWxpYXMiOiJDb3VudHJpZXMifV1dLCJhbGlhcyI6IkNvdW50cmllcyJ9XSwiZmlsdGVyIjpbImFuZCIsWyI9IixbImZpZWxkIiwyMDMsbnVsbF0sNDE4XSxbIj0iLFsiZmllbGQiLDM2NjcseyJqb2luLWFsaWFzIjoiQ291bnRyaWVzIn1dLCJBZmdoYW5pc3RhbiIsIkFsYmFuaWEiLCJBbGdlcmlhIiwiQW5nb2xhIiwiQW50aWd1YSBhbmQgQmFyYnVkYSIsIkFyZ2VudGluYSIsIkFybWVuaWEiLCJBcnViYSIsIkF6ZXJiYWlqYW4iLCJCYWhhbWFzIiwiQmFocmFpbiIsIkJhbmdsYWRlc2giLCJCYXJiYWRvcyIsIkJlbGFydXMiLCJCZWxpemUiLCJCZW5pbiIsIkJodXRhbiIsIkJvbGl2aWEgKFBsdXJpbmF0aW9uYWwgU3RhdGUgb2YpIiwiQm9zbmlhIGFuZCBIZXJ6ZWdvdmluYSIsIkJvdHN3YW5hIiwiQnJhemlsIiwiQnJ1bmVpIERhcnVzc2FsYW0iLCJCdWxnYXJpYSIsIkJ1cmtpbmEgRmFzbyIsIkJ1cnVuZGkiLCJDYW1ib2RpYSIsIkNhYm8gVmVyZGUiLCJDYW1lcm9vbiIsIkNlbnRyYWwgQWZyaWNhbiBSZXB1YmxpYyIsIkNoYWQiLCJDaGlsZSIsIkNoaW5hIiwiQ29sb21iaWEiLCJDb21vcm9zIiwiQ29zdGEgUmljYSIsIkNvbmdvIChEZW1vY3JhdGljIFJlcHVibGljIG9mIHRoZSkiLCJEamlib3V0aSIsIkRvbWluaWNhIiwiRG9taW5pY2FuIFJlcHVibGljIiwiVGltb3ItTGVzdGUiLCJFY3VhZG9yIiwiRWd5cHQiLCJFbCBTYWx2YWRvciIsIkVxdWF0b3JpYWwgR3VpbmVhIiwiRXJpdHJlYSIsIkVzd2F0aW5pIiwiRXRoaW9waWEiLCJNaWNyb25lc2lhIChGZWRlcmF0ZWQgU3RhdGVzIG9mKSIsIkZpamkiLCJHYWJvbiIsIkdhbWJpYSIsIkdlb3JnaWEiLCJHaGFuYSIsIkdyZW5hZGEiLCJHdWF0ZW1hbGEiLCJHdWluZWEiLCJHdWluZWEtQmlzc2F1IiwiR3V5YW5hIiwiSGFpdGkiLCJIb25kdXJhcyIsIkluZGlhIiwiSW5kb25lc2lhIiwiSXJhcSIsIklyYW4gKElzbGFtaWMgUmVwdWJsaWMgb2YpIiwiQ8O0dGUgZCdJdm9pcmUiLCJKYW1haWNhIiwiSm9yZGFuIiwiS2F6YWtoc3RhbiIsIktlbnlhIiwiS2lyaWJhdGkiLCJLdXdhaXQiLCJLeXJneXpzdGFuIiwiTGFvIFBlb3BsZSdzIERlbW9jcmF0aWMgUmVwdWJsaWMiLCJMZWJhbm9uIiwiTGVzb3RobyIsIkxpYmVyaWEiLCJMaWJ5YSIsIk1hZGFnYXNjYXIiLCJNYWxhd2kiLCJNYWxheXNpYSIsIk1hbGRpdmVzIiwiTWFsaSIsIk1hcnNoYWxsIElzbGFuZHMiLCJNYXVyaXRhbmlhIiwiTWF1cml0aXVzIiwiTWV4aWNvIiwiTW9sZG92YSAoUmVwdWJsaWMgb2YpIiwiTW9uZ29saWEiLCJNb250ZW5lZ3JvIiwiTW9yb2NjbyIsIk1vemFtYmlxdWUiLCJNeWFubWFyIiwiTmFtaWJpYSIsIk5hdXJ1IiwiTmVwYWwiLCJOaWNhcmFndWEiLCJOaWdlciIsIk5pZ2VyaWEiLCJOb3J0aCBNYWNlZG9uaWEiLCJPbWFuIiwiUGFraXN0YW4iLCJQYWxhdSIsIlBhbGVzdGluZSwgU3RhdGUgb2YiLCJQYW5hbWEiLCJQYXB1YSBOZXcgR3VpbmVhIiwiUGFyYWd1YXkiLCJQZXJ1IiwiUGhpbGlwcGluZXMiLCJQb2xhbmQiLCJRYXRhciIsIkNvbmdvIiwiUm9tYW5pYSIsIlJ1c3NpYW4gRmVkZXJhdGlvbiIsIlJ3YW5kYSIsIlNhaW50IEtpdHRzIGFuZCBOZXZpcyIsIlNhaW50IEx1Y2lhIiwiU2FpbnQgVmluY2VudCBhbmQgdGhlIEdyZW5hZGluZXMiLCJTYW1vYSIsIkFtZXJpY2FuIFNhbW9hIiwiU2FvIFRvbWUgYW5kIFByaW5jaXBlIiwiU2F1ZGkgQXJhYmlhIiwiU2VuZWdhbCIsIlNlcmJpYSIsIlNleWNoZWxsZXMiLCJTaWVycmEgTGVvbmUiLCJTb2xvbW9uIElzbGFuZHMiLCJTb21hbGlhIiwiU291dGggQWZyaWNhIiwiU291dGggU3VkYW4iLCJTdWRhbiIsIlN1cmluYW1lIiwiU3lyaWFuIEFyYWIgUmVwdWJsaWMiLCJUYWppa2lzdGFuIiwiVGFuemFuaWEsIFVuaXRlZCBSZXB1YmxpYyBvZiIsIlRoYWlsYW5kIiwiVG9nbyIsIlR1bmlzaWEiLCJUcmluaWRhZCBhbmQgVG9iYWdvIiwiVMO8cmtpeWUiLCJUdXJrbWVuaXN0YW4iLCJUdXZhbHUiLCJVZ2FuZGEiLCJVa3JhaW5lIiwiVXJ1Z3VheSIsIlV6YmVraXN0YW4iLCJWYW51YXR1IiwiVmVuZXp1ZWxhIChCb2xpdmFyaWFuIFJlcHVibGljIG9mKSIsIlZpZXQgTmFtIiwiWWVtZW4iLCJaYW1iaWEiLCJaaW1iYWJ3ZSJdXSwiYWdncmVnYXRpb24iOltbImNvdW50Il1dfSwidHlwZSI6InF1ZXJ5In0sImRpc3BsYXkiOiJzY2FsYXIiLCJ2aXN1YWxpemF0aW9uX3NldHRpbmdzIjp7fX0=,,,,
Total Cumulative,,,,,,10127,1672,"1,061",,11.90%,57273,,,5030,171819,851,0
Total Unique,,,,,,6146,1550,723,,,,134,95,1288,14318.25,,
,,,,,,,,,,,,,,,^^ Number of months worked,,
